Name,J1,J2,J3,J4,J5,J16,J20,J13,J10,J7,J24,J25,J26,J27,J28,J42,J38,J35,J32,J29,J46,J47,Delay
move4,0,58,21,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
move4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
move4,0,58,21,61,5,18,18,90,76,90,0,0,0,0,0,0,0,0,0,0,0,0,1
move4,0,58,21,61,5,18,18,90,0,90,0,0,0,0,0,0,0,0,0,0,0,0,1
move4,0,58,21,61,5,18,18,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,1
move4,0,58,21,61,5,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,1
move4,0,58,21,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,17,16,90,65,90,13,-27,3
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,18,18,90,0,90,13,-27,1
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,18,18,0,0,90,13,-27,1
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,18,0,0,0,90,13,-27,1
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,0,0,0,0,90,13,-27,1
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,0,0,0,0,0,6,-27,1
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,0,0,0,0,0,8,32,3
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,0,0,0,0,0,8,-24,3
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,0,0,0,0,0,-21,26,3
move4,0,58,21,61,5,0,0,0,0,0,0,58,-20,59,1,0,0,0,0,0,-21,-40,3
move4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
