Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.30385774387186E-06,-0.00564900549699818,0.407657033872951,0,0,0,9.78773130984725,0.150359882941784,-9.8020819113542E-06,1.29254947781135E-06,0.153564705321709,-2.07615097720652E-05,0.0949482674973108,0,0,0,0,0,0,package://zetax/meshes/base_link.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/base_link.STL,,ThroatHoleV3-1;neak-1/NeckV1-1;ThroatHolderV2-1;body^inmoovv1.21-1,base_joint,Axis_47,J47,revolute,-0.023825,-0.0022254,0,1.5708,1.5708,-1.5231,head_up_down_J46,0,0,-1,0,0,-1,1,,,,,,,,
right_shoulder_up_down_J1,0.0153103411855154,0.0488164370602937,0.0492738852648198,0,0,0,0.30055137668225,0.000449736475717685,-7.75811645757491E-06,-5.07621826856943E-06,0.000192182916580971,-1.88936498599343E-05,0.000306606619774997,0,0,0,0,0,0,package://zetax/meshes/right_shoulder_up_down_J1.STL,1,1,1,1,0,0,0,0,0,0,package://zetax/meshes/right_shoulder_up_down_J1.STL,,right_shoulder^inmoovv1.21-1/PivcenterV3-1;right_shoulder^inmoovv1.21-1/servoholderV1-1;right_shoulder^inmoovv1.21-1/servoholderV1-2;right_shoulder^inmoovv1.21-1/LeftPivTitV3-1,Orign_J1,Axis_J1,J1,revolute,-0.14354,-0.0547,0.90833,-1.5708,0,0,base_link,0,0,1,0,0,0,1.57,,,,,,,,
right_shoulder_forw_backw_J2,0.0446469801637055,0.0228744232692757,-0.00275740740024161,0,0,0,0.403176904286232,0.000343284355940545,-1.15995503921432E-06,-1.22811066459E-05,0.000457510691442232,-6.93541963407655E-06,0.000360012473378437,0,0,0,0,0,0,package://zetax/meshes/right_shoulder_forw_backw_J2.STL,1,1,1,1,0,0,0,0,0,0,package://zetax/meshes/right_shoulder_forw_backw_J2.STL,,right_shoulder^inmoovv1.21-1/LeftPivMitV2-1;right_shoulder^inmoovv1.21-1/PivConnectorV1-1;right_shoulder^inmoovv1.21-1/PivConnectorV1-2;right_shoulder^inmoovv1.21-1/RotcenterV3-1;right_shoulder^inmoovv1.21-1/PivTitV3-1,Orign_J2,Axis_J25,J2,revolute,-0.011824,0.03981,0.045862,-3.1416,0,3.1416,right_shoulder_up_down_J1,-1,0,0,0,0,0,1.57,,,,,,,,
right_bicep_J3,-0.00664408741859399,-5.97015817801298E-05,-0.0827827026602137,0,0,0,0.500684348318071,0.000405508349808579,-4.43264630740647E-07,-8.59139485963849E-05,0.000666172399407517,-2.28923617458674E-07,0.000403330494710682,0,0,0,0,0,0,package://zetax/meshes/right_bicep_J3.STL,1,1,1,1,0,0,0,0,0,0,package://zetax/meshes/right_bicep_J3.STL,,RotMitV3-1;armtc6-1;armtc5-1;armtc4-1;armtc3-1;armtc2-1;armtc1-1;LowArmSideV3-3;ReinforcerV2-2;HighArmSideV3-2;ReinforcerV2-1;LowArmSideV3-1;HighArmSideV3-1,Orign_J3,Axis_J3,J3,revolute,0.066391,0.062911,-2.2895E-05,-1.5708,0,-3.1416,right_shoulder_forw_backw_J2,0,0,1,0,0,-1.57,1.57,,,,,,,,
right_hand_J4,-0.00051849594887482,-0.0896886610886017,-0.0236602080704487,0,0,0,0.305840674504553,0.000493914524722846,-2.18663073380393E-07,2.39632973455391E-06,0.000506123179189836,2.37152311419707E-06,0.000341594678834825,0,0,0,0,0,0,package://zetax/meshes/right_hand_J4.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_hand_J4.STL,,RIGHT HAND-1/Kapak-1;elbowshaftgearV1-1;RIGHT HAND-1/12345-1;RIGHT HAND-1/Bilek üst-1;RIGHT HAND-1/rotawrist1V31-1;RIGHT HAND-1/rotawrist 2-1,Origin_J4,Axis_J4,J4,revolute,-0.031081,-0.026418,-0.22476,1.5707,0,0.001174,right_bicep_J3,0,0,1,0,0,0,1.57,,,,,,,,
right_wrist_J5,-0.000114101901909747,0.00644608275733352,0.0569793460274128,0,0,0,0.0836281309746193,8.68948537796338E-05,7.39495664486675E-08,2.94773115317809E-07,6.09815762715336E-05,-1.95191463960257E-05,3.11880385129723E-05,0,0,0,0,0,0,package://zetax/meshes/right_wrist_J5.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_wrist_J5.STL,,RIGHT HAND-1/rotawirst3v2-1;RIGHT HAND-1/kama3-1;RIGHT HAND-1/WristlargeV4-1;RIGHT HAND-1/kama2-1;RIGHT HAND-1/kama1-1,Origin_J5,Axis_J5,J5,revolute,-0.00026291,-0.28325,-0.016282,1.5658,-0.001174,0,right_hand_J4,0,0,1,0,0,-1.57,1.57,,,,,,,,
right_thump_J7,-0.000312541279265832,-0.0159735942310025,-0.00229614451493243,0,0,0,0.0103243031875615,1.09991220710435E-06,-5.0205219342428E-09,-6.31358336053234E-09,9.4554149761043E-07,7.36808844017295E-08,7.48337316330889E-07,0,0,0,0,0,0,package://zetax/meshes/right_thump_J7.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_thump_J7.STL,,RIGHT HAND-1/Thump-1;RIGHT HAND-1/Thump montaj-1/Thump1-1,Origin_J7,Axis_J7,J7,revolute,0,0.030154,0.05991,3.0585,0,0,right_wrist_J5,0,0,1,0,0,0,1.57,,,,,,,,
right_thump_J8,0.00263831372173146,-0.0173217879633072,-0.00325000625952035,0,0,0,0.00578743353711955,3.72666607894796E-07,5.56843823703261E-09,-7.69389962117362E-13,3.35633840073675E-07,2.00234946621592E-13,2.90221053702595E-07,0,0,0,0,0,0,package://zetax/meshes/right_thump_J8.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_thump_J8.STL,,RIGHT HAND-1/Thump montaj-1/Thump4-1;RIGHT HAND-1/Thump montaj-1/Thump3-1,Origin_J8,Axis_J8,J8,revolute,-0.0022994,-0.034211,-0.0096226,0.76984,0.32309,0.29857,right_thump_J7,0,0,-1,0,0,0,0,,,,,,,,
right_thump_J9,-0.000487645597847364,-0.0133117732514413,-0.00324058247978604,0,0,0,0.004086100810224,1.8045778456823E-07,1.31774837356245E-08,1.41067502616413E-10,1.6693109886181E-07,-2.07089987511365E-11,1.95952066397287E-07,0,0,0,0,0,0,package://zetax/meshes/right_thump_J9.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_thump_J9.STL,,RIGHT HAND-1/Thump montaj-1/Thump6-1;RIGHT HAND-1/Thump montaj-1/Thump5-1,Origin_J9,Axis_J9,J9,revolute,0.0018602,-0.028082,0,0,0,0,right_thump_J8,0,0,-1,0,0,0,0,,,,,,,,
right_index_J10,0.000885768796903552,0.0181923331643391,0.00325002739626079,0,0,0,0.00464663258164643,3.43446856353789E-07,-3.61141088926714E-09,1.46546023221946E-10,2.19871475309783E-07,1.20170564999191E-12,2.98903706139635E-07,0,0,0,0,0,0,package://zetax/meshes/right_index_J10.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_index_J10.STL,,RIGHT HAND-1/parmak index 3 montaj-1/Parmak index3-4-1;RIGHT HAND-1/parmak index 3 montaj-1/Parmak index3-3-1,Origin_J10,Axis_J10,J10,revolute,0.0005,0.038503,0.121,1.4739,0,0,right_wrist_J5,0,0,-1,0,0,0,1.57,,,,,,,,
right_index_J11,-0.00112479025271311,0.0108503126007952,0.00325028734460535,0,0,0,0.0029694189425259,1.11378032864788E-07,-6.59585267819045E-09,4.07927660175476E-12,9.24092224681025E-08,6.36819227427545E-12,1.09028843349904E-07,0,0,0,0,0,0,package://zetax/meshes/right_index_J11.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_index_J11.STL,,RIGHT HAND-1/parmak index 3 montaj-1/Parmak index3-5-1;RIGHT HAND-1/parmak index 3 montaj-1/Parmak index3-6-1,Origin_J11,Axis_J11,J11,revolute,0.0014005,0.0358,0,0,0,0,right_index_J10,0,0,1,0,0,0,0,,,,,,,,
right_index_J12,0.000415442786964482,0.0114626267171603,0.00324842592671561,0,0,0,0.0024583573430902,8.02407963934757E-08,-6.59250875166553E-09,-3.07796695485008E-11,6.18424662609382E-08,-3.08476291172074E-11,8.42610823013142E-08,0,0,0,0,0,0,package://zetax/meshes/right_index_J12.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_index_J12.STL,,RIGHT HAND-1/parmak index 3 montaj-1/Parmak ucu index3-1;RIGHT HAND-1/parmak index 3 montaj-1/Parmak index3-2-1,Origin_J12,Axis_J12,J12,revolute,-0.0015,0.023,0,0,0,0,right_index_J11,0,0,1,0,0,0,0,,,,,,,,
right_middle_J13,0.00093448572400906,0.0191929103014755,-0.00342872444496174,0,0,0,0.00545626791359473,4.48871160567151E-07,-4.71994440627214E-09,1.91334158820802E-10,2.87363177525294E-07,1.59686790225507E-12,3.90655204851821E-07,0,0,0,0,0,0,package://zetax/meshes/right_middle_J13.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_middle_J13.STL,,RIGHT HAND-1/majeur-1/majeur3-4-1;RIGHT HAND-1/majeur-1/majeur3-3-1,Origin_J13,Axis_J13,J13,revolute,0.000499999999999945,0.0049248143934115,0.125899819314373,1.54697555534349,0,0,right_wrist_J5,0,0,-1,0,0,0,1.57,,,,,,,,
right_middle_J14,-0.00118665470615636,0.0114470881360954,-0.00342835648925043,0,0,0,0.00348681203810925,1.45566387781986E-07,-8.62035369789367E-09,5.04714736200374E-12,1.20774944205303E-07,7.26536743973101E-12,1.42496278066435E-07,0,0,0,0,0,0,package://zetax/meshes/right_middle_J14.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_middle_J14.STL,,RIGHT HAND-1/majeur-1/majeur3-5-1;RIGHT HAND-1/majeur-1/majeur3-6-1,Origin_J14,Axis_J14,J14,revolute,0.00147757420956629,0.0377689999999999,0,0,0,0,right_middle_J13,0,0,1,0,0,0,0,,,,,,,,
right_middle_J15,0.000438288966745082,0.0120931291119732,-0.0034304361065291,0,0,0,0.00288671634599157,1.0487197371271E-07,-8.6159556716268E-09,-4.02058520089483E-11,8.08259928414099E-08,-3.99246485498087E-11,1.10125860384991E-07,0,0,0,0,0,0,package://zetax/meshes/right_middle_J15.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_middle_J15.STL,,RIGHT HAND-1/majeur-1/Paramak ucu majeur3-1;RIGHT HAND-1/majeur-1/majeur3-2-1,Origin_J15,Axis_J15,J15,revolute,-0.00158249999999993,0.024265,0,0,0,0,right_middle_J14,0,0,1,0,0,0,0,,,,,,,,
right_little_J16,-8.98024008864629E-05,0.0206467540578174,-0.00517311514485388,0,0,0,0.0179601624148531,4.63043215432541E-06,3.28723230229524E-08,-2.80419616476293E-08,2.14820492587722E-06,1.31085473365563E-06,3.35618938107579E-06,0,0,0,0,0,0,package://zetax/meshes/right_little_J16.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_little_J16.STL,,RIGHT HAND-1/WristsmallV32-1,Origin_J16,Axis_J16J20,J16,revolute,0,-0.0245669987447082,0.0562148526643473,2.45248970858413,0,0,right_wrist_J5,0,0,1,0,0,0,0.3,,,,,,,,
right_little_J17,0.000738285310396103,-0.0151633108275956,-0.00354238308959057,0,0,0,0.00269063748938314,1.38161588926314E-07,1.4527831711997E-09,-5.86415639001342E-11,8.84498221632085E-08,5.34062842370107E-13,1.20242933188226E-07,0,0,0,0,0,0,package://zetax/meshes/right_little_J17.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_little_J17.STL,,RIGHT HAND-1/Auriculaire3 montaj-1/Auriculaire3-4-1;RIGHT HAND-1/Auriculaire3 montaj-1/Auriculaire3-3-1,Origin_J17,Axis_J17,J17,revolute,0.0003000000000003,0.0457645578352131,-0.0251422576705387,2.5138228945981,0,0,right_little_J16,0,0,1,0,0,0,0,,,,,,,,
right_little_J18,-5.03587732555433E-05,-0.00909197174782861,-0.00354251907251552,0,0,0,0.00171949550424563,4.4224354490247E-08,3.34459922111536E-09,-2.13170417332028E-12,3.7763582384764E-08,3.02539180861974E-12,4.38544333330661E-08,0,0,0,0,0,0,package://zetax/meshes/right_little_J18.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_little_J18.STL,,RIGHT HAND-1/Auriculaire3 montaj-1/Auriculaire3-5-1;RIGHT HAND-1/Auriculaire3 montaj-1/Auriculaire3-6-1,Origin_J18,Axis_J18,J18,revolute,0.00116735365277099,-0.0298393000000001,0,0,0,0,right_little_J17,0,0,-1,0,0,0,0,,,,,,,,
right_little_J19,0.00034628949288168,-0.00955417083022873,-0.00354106858562218,0,0,0,0.00142350707680254,3.2279550726875E-08,2.65202727902269E-09,1.23565562115379E-11,2.48779291907755E-08,-1.24006550660179E-11,3.38968343808897E-08,0,0,0,0,0,0,package://zetax/meshes/right_little_J19.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_little_J19.STL,,RIGHT HAND-1/Auriculaire3 montaj-1/Paramak ucu Auriculaire3-1;RIGHT HAND-1/Auriculaire3 montaj-1/Auriculaire3-2-1,Origin_J19,Axis_J19,J19,revolute,0.000626873297826347,-0.0192009954216176,0,0,0,0,right_little_J18,0,0,-1,0,0,0,0,,,,,,,,
right_ring_J20,-0.000105678808513643,0.0177423765079019,-0.00227735628746051,0,0,0,0.0133231613815407,2.53720274403352E-06,2.24359389501848E-08,-1.26426387567194E-08,1.26031160104865E-06,5.29805441775577E-07,1.92896860086194E-06,0,0,0,0,0,0,package://zetax/meshes/right_ring_J20.STL,0.827450980392157,0.83921568627451,0.827450980392157,1,0,0,0,0,0,0,package://zetax/meshes/right_ring_J20.STL,,RIGHT HAND-1/WristsmallV31-1,Origin_J20,Axis_J16J20,J20,revolute,0,-0.00462154667570825,0.0804255194490987,2.45248970858413,0,0,right_wrist_J5,0,0,1,0,0,0,0.3,,,,,,,,
